,input,input_lemma,input_pos,target
2380,15-го при опасной переправе чрез разлившуюся речку быковку на него напали овчинников перфильев и дегтерев,15-го при опасный переправа чрез разлиться речка быковка на он напасть овчинников перфильев и дегтерев,NUM ADP ADJ NOUN VERB ADJ NOUN NOUN ADP PRON VERB NOUN NOUN CCONJ NOUN,C S S S S S S C S S S C S S P
2381,бедряга и бородин их преследовали но распутица спасла предводителей,бедряга и бородин они преследовать но распутица спасти предводитель,NOUN CCONJ VERB PRON VERB CCONJ NOUN VERB NOUN,S S S S C S S S P
2382,в кузницах приготовлялись ломы и лопаты возвышались новые батареи,в кузница приготовляться лом и лопата возвышались новый батарея,ADP NOUN ADJ NOUN CCONJ NOUN NOUN ADJ NOUN,S S S S S C S S P
2383,мятежники деятельно продолжали свои земляные работы то обрывая берег чечоры и тем уничтожая сообщение одной части города с другой то копая траншеи дабы препятствовать вылазкам,мятежник деятельно продолжать свой земляной работа то обрывать берег чечор и тот уничтожать сообщение один часть город с другой то копать траншея дабы препятствовать вылазка,NOUN ADV VERB DET ADJ NOUN SCONJ VERB NOUN NOUN CCONJ PRON VERB NOUN DET NOUN NOUN ADP ADJ SCONJ VERB NOUN SCONJ VERB NOUN,S S S S S C S S S S S S S S S S S S C S S C S S P
2384,они намерены были вести подкопы по яру старицы кругом всей крепости под соборную церковь под батареи и под комендантские палаты,они намерен быть вести подкоп по яр старица круг весь крепость под соборный церковь под батарея и под комендантские палата,PRON ADJ AUX VERB NOUN ADP NOUN VERB NOUN DET NOUN ADP ADJ NOUN ADP NOUN CCONJ ADP NOUN NOUN,S S S S S S S C S S C S S C S S S S S P
2385,9 марта на рассвете двести пятьдесят рядовых вышли из крепости целью вылазки было уничтожение новой батареи сильно беспокоившей осажденных,9 март на рассвет двести пятьдесят рядовой выйти из крепость цель вылазка быть уничтожение новый батарея сильно беспокоить осадить,ADJ NOUN ADP NOUN NUM NUM NOUN VERB ADP NOUN NOUN NOUN AUX NOUN ADJ NOUN ADV VERB VERB,S S S S S S S S S C S S S S S C S S P
2386,солдаты дошли до завалов но были встречены сильным огнем,солдат дойти до завал но быть встретить сильный огонь,NOUN VERB ADP NOUN CCONJ AUX VERB ADJ NOUN,S S S C S S S S P
2387,мятежники хватали их в тесных проходах между завалами и избами которые хотели они зажечь кололи раненых и падающих и топорами отсекали им головы,мятежник хватать они в тесный проход между завал и изба который хотеть они зажечь колоть раненый и падать и топор отсекать он голова,NOUN VERB PRON ADP ADJ NOUN ADP NOUN CCONJ NOUN PRON VERB PRON VERB VERB NOUN CCONJ VERB CCONJ NOUN VERB PRON NOUN,S S S S S S S S S C S S S C S S S S S S S S P
2388,убито их было до тридцати человек ранено до осьмидесяти,убить они быть до тридцать человек ранить до осемьдесят,VERB PRON AUX ADP NUM NOUN VERB ADP ADJ,S S S S S C S S P
2389,удалось сжечь одну батарею не главную да несколько изб,удаться сжечь один батарея не главный да несколько изба,VERB VERB NUM NOUN PART ADJ CCONJ NUM ADJ,S S S C S C S S P
2390,показание трех захваченных бунтовщиков увеличило уныние осажденных они объявили о подкопах веденных под крепость и о скором прибытии пугачева,показание три захватить бунтовщик увеличить уныние осадить они объявить о подкоп вести под крепость и о скорый прибытие пугачев,NOUN NUM VERB NOUN VERB NOUN VERB PRON VERB ADP ADJ NOUN ADP NOUN CCONJ ADP NOUN NOUN NOUN,S S S S S S C S S S C S S C S S S S P
2391,устрашенный симонов велел всюду производить новые работы около его дома беспрестанно пробовали землю буравами стали копать новый ров,устрашить симонов велеть всюду производить новый работа около его дом беспрестанно пробовать земля бурав стать копать новый ров,NOUN NOUN VERB ADV VERB ADJ NOUN ADP DET NOUN ADV VERB NOUN NOUN VERB VERB ADJ NOUN,S S S S S S C S S S S S S C S S S P
2392,люди изнуренные тяжкою работою почти не спали ночью половина гарнизона всегда стояла в ружье другой позволено было только сидя дремать,человек изнурить тяжкий работа почти не спать ночь половина гарнизон всегда стоять в ружье другой позволить быть только сидеть дремать,NOUN VERB ADJ NOUN ADV PART VERB NOUN NOUN NOUN ADV VERB ADP NOUN ADJ VERB AUX PART VERB ADJ,C S S C S S C S S S S S S C S S S S S P
2393,лазарет наполнился больными съестных запасов оставалось не более как дней на десять,лазарет наполниться больной съестных запас оставаться не более как день на десять,NOUN VERB ADJ NOUN NOUN VERB PART ADV SCONJ NOUN ADP NUM,S S C S S S S S S S S P
2394,солдатам начали выдавать в сутки только по четверть фунта муки то есть десятую часть меры обыкновенной,солдат начать выдавать в сутки только по четверть фунт мука тот быть десятый часть мера обыкновенный,NOUN VERB VERB ADP NOUN PART ADP NOUN NOUN NOUN PRON VERB ADJ NOUN NOUN ADJ,S S S S S S S S S C S S S S S P
2395,не было уже ни круп ни соли,не быть уже ни крупа ни соль,PART AUX ADV CCONJ ADJ CCONJ NOUN,S S S S C S P
2396,вскипятив артельный котел воды и забелив ее мукою каждый выпивал чашку свою что и составляло их насуточную пищу,вскипятив артельный котел вода и забелить она мукою каждый выпивать чашка свой что и составлять они насуточный пища,ADJ ADJ NOUN NOUN CCONJ VERB PRON ADV DET VERB NOUN DET PRON PART VERB PRON ADJ NOUN,S S S S S S S C S S S C S S S S S P
2397,симонов на то не согласился опасаясь умножить число врагов,симонов на тот не согласиться опасаться умножить число враг,NOUN ADP PRON PART VERB VERB VERB NOUN NOUN,S S S S C S S S P
2398,лошадиного мяса раздававшегося на вес уже не было,лошадиный мясо раздаваться на вес уже не быть,ADJ NOUN NOUN ADP NOUN ADV PART AUX,S C S S C S S P
2399,в начале осады месяца за три до сего брошены были на лед убитые лошади о них вспомнили и люди с жадностию грызли кости объеденные собаками,в начало осада месяц за три до сей бросить быть на лед убитый лошадь о они вспомнить и человек с жадность грызли кость объесть собака,ADP NOUN NOUN NOUN ADP NUM ADP NOUN VERB AUX ADP NOUN NOUN NOUN ADP PRON VERB PART NOUN ADP ADJ ADJ NOUN VERB NOUN,S S C S S S S C S S S S S C S S C S S S S S C S P
2400,нашли род глины отменно мягкой и без примеси песку,найти род глина отменно мягкий и без примесь песок,VERB NOUN NOUN ADV ADJ PART ADP NOUN NOUN,S S C S S S S S P
2401,попробовали ее сварить и составя из нее какой-то кисель стали употреблять в пищу,попробовать она сварить и составить из она какой-то кисель стать употреблять в пища,VERB PRON VERB CCONJ VERB ADP PRON DET NOUN VERB VERB ADP NOUN,S S S C S S S S C S S S P
2402,женщины несколько раз покушались тронуть мятежников и валяясь в их ногах умоляли о позволении остаться в городе,женщина несколько раз покушаться тронуть мятежник и валяясь в их нога умолять о позволение остаться в город,NOUN NUM NOUN VERB VERB NOUN CCONJ NOUN ADP DET NOUN VERB ADP VERB VERB ADP NOUN,S S S S S S C S S S C S S S S S P
2403,осажденные отлагали свою надежду со дня на день с недели на другую,осадить отлагать свой надежда с день на день с неделя на другой,VERB VERB DET NOUN ADP NOUN ADP NOUN ADP NOUN ADP ADJ,S S S S S S S C S S S P
2404,в случае ж покорности обещали они от его имени не только помилование но и награды,в случай ж покорность обещать они от его имя не только помилование но и награда,ADP NOUN PART NOUN VERB PRON ADP DET NOUN PART PART NOUN CCONJ CCONJ NOUN,S S S S S S S S S S S C S S P
2405,то же старались они внушить и бедным женщинам которые просились из крепости в город,тот же стараться они внушить и бедный женщина который проситься из крепость в город,PRON PART VERB PRON VERB CCONJ ADJ NOUN PRON VERB ADP NOUN ADP NOUN,S S S S S S S C S S S S S P
2406,старались удержать гарнизон в верности и повиновении повторяя что позорной изменою никто не спасется от гибели что бунтовщики озлобленные долговременным сопротивлением не пощадят и клятвопреступников,стараться удержать гарнизон в верность и повиновение повторять что позорный измена никто не спастись от гибель что бунтовщик озлобить долговременный сопротивление не пощадят и клятвопреступник,VERB VERB NOUN ADP NOUN CCONJ ADJ VERB PRON ADJ NOUN PRON PART VERB ADP NOUN SCONJ NOUN VERB ADJ NOUN PART ADJ CCONJ ADJ,S S S S S S C C S S S S S S S C S C S S C S S S P
2407,не надеялись победить хотели только умереть честною смертию воинов,не надеяться победить хотеть только умереть честною смертие воин,PART VERB VERB VERB PART VERB VERB NOUN NOUN,S S C S S S S S P
2408,все это нас так ободрило говорит свидетель осады претерпевший весь ее ужас как будто мы съели по куску хлеба,весь это мы так ободрило говорить свидетель осада претерпеть весь ее ужас как будто мы съесть по кусок хлеб,DET PRON PRON ADV ADV VERB NOUN NOUN VERB DET DET NOUN SCONJ PART PRON VERB ADP NOUN NOUN,S S S S C S S C S S S C S S S S S S P
2409,мало-помалу смятение утихло все казалось вошло в обыкновенный порядок,мало-помалу смятение утихнуть весь казаться войти в обыкновенный порядок,VERB NOUN VERB PRON VERB VERB ADP ADJ NOUN,S S C C C S S S P
2410,они молча глядели в степь отколе ожидали еще недавно избавителей,они молча глядеть в степь откол ожидать еще недавно избавитель,PRON ADV VERB ADP NOUN NOUN VERB ADV ADV VERB,S S S S C S S S S P
2411,вдруг в пятом часу пополудни вдали показалась пыль и они увидели толпы без порядка скачущие из-за рощи одна за другою,вдруг в пятый час пополудни вдали показаться пыль и они увидеть толпа без порядок скакать из-за роща один за другой,ADV ADP ADJ NOUN NOUN ADV VERB NOUN CCONJ PRON VERB NOUN ADP NOUN NOUN ADP NOUN DET ADP NOUN,C S S S C S S C S S S C S S S S S S S P
2412,бунтовщики въезжали в разные ворота каждый в те близ коих находился его дом,бунтовщик въезжать в разный ворота каждый в тот близ коих находиться его дом,NOUN VERB ADP ADJ NOUN DET ADP DET ADP ADV VERB DET NOUN,S S S S C S S C S S S S P
2413,осажденные понимали что мятежники разбиты и бегут но еще не смели радоваться опасались отчаянного приступа,осадить понимать что мятежник разбить и бежать но еще не смести радоваться опасаться отчаянный приступ,VERB VERB SCONJ NOUN VERB CCONJ VERB CCONJ ADV PART VERB VERB VERB ADJ NOUN,S C S S S S C S S S S C S S P
2414,жители бегали взад и вперед по улицам как на пожаре,житель бегать взад и вперед по улица как на пожар,NOUN VERB ADV CCONJ ADV ADP NOUN SCONJ ADP NOUN,S S S S S S C S S P
2415,к вечеру ударили в соборный колокол собрали круг потом кучею пошли к крепости,к вечер ударить в соборный колокол собрать круг потом куча пойти к крепость,ADP NOUN VERB ADP ADJ NOUN VERB NOUN ADV NOUN VERB ADP NOUN,S S S S S C S C S S S S P
2416,осажденные готовились их отразить но увидели что они ведут связанных своих предводителей атаманов каргина и толкачева,осадить готовиться они отразить но увидеть что они вести связанных свой предводитель атаман каргин и толкачев,NOUN VERB PRON VERB CCONJ VERB SCONJ PRON VERB NOUN DET NOUN NOUN NOUN CCONJ NOUN,S S S C S C S S S S S C S S S P
2417,бунтовщики приближались громко моля о помиловании,бунтовщик приближаться громко молить о помилование,NOUN VERB ADV VERB ADP NOUN,S C S S S P
2418,симонов принял их сам не веря своему избавлению,симонов принять они сам не верить свой избавление,NOUN VERB PRON ADJ PART VERB DET NOUN,S S C S S S S P
2419,гарнизон бросился на ковриги хлеба нанесенные жителями,гарнизон броситься на коврига хлеб нанести житель,NOUN VERB ADP NOUN NOUN VERB NOUN,S S S S C S P
2420,до светлого воскресения пишет очевидец сих происшествий оставалось еще четыре дня но для нас уже сей день был светлым праздником,до светлый воскресение писать очевидец сей происшествие оставаться еще четыре день но для мы уже сей день быть светлый праздник,ADP ADJ NOUN VERB NOUN DET NOUN VERB ADV NUM NOUN CCONJ ADP PRON ADV PART NOUN AUX ADJ NOUN,S S C S S S C S S S C S S S S S S S S P
2421,самые те которые от слабости и болезни не подымались с постели мгновенно были исцелены,самый тот который от слабость и болезнь не подыматься с постель мгновенно быть исцелить,ADJ DET PRON ADP NOUN CCONJ NOUN PART VERB ADP NOUN ADV AUX ADJ,S C S S S S S S S S C S S P
2422,все в крепости было в движении благодарили бога поздравляли друг друга во всю ночь никто не спал,весь в крепость быть в движение благодарить бог поздравлять друг друг в весь ночь никто не спать,PRON ADP NOUN AUX ADP NOUN VERB NOUN VERB PRON PRON ADP DET NOUN PRON PART VERB,S S S S S C S C S S C S S S S S P
2423,ворота крепости запертые и заваленные с самого 30 декабря отворились,ворота крепость запереть и завалить с сам 30 декабрь отворились,NOUN NOUN VERB CCONJ NOUN ADP ADJ ADJ NOUN NOUN,S C S S S S S S C P
2424,начальники бунта каргин толкачев и горшков и незаконная жена самозванца устинья кузнецова были под стражею отправлены в оренбург,начальник бунт каргин толкачев и горшок и незаконный жена самозванец устинья кузнецов быть под стража отправить в оренбург,NOUN NOUN ADJ NOUN CCONJ NOUN CCONJ ADJ NOUN VERB NOUN NOUN AUX ADP NOUN VERB ADP NOUN,S C C S S C S S S C S C S S S S S P
2425,таков был успех распоряжений искусного умного военачальника,таков быть успех распоряжение искусный умный военачальник,ADJ AUX NOUN NOUN ADJ ADJ NOUN,S S S S C S P
2426,тело его несколько дней стояло на берегу камы через которую в то время не было возможности переправиться,тело его несколько день стоять на берег кама через который в тот время не быть возможность переправиться,NOUN DET NUM NOUN VERB ADP NOUN NOUN ADP PRON ADP DET NOUN PART AUX NOUN VERB,S S S S S S S C S S S S S S S S P
2427,казань желала погрести его в своем соборе и сооружить памятник своему избавителю но по требованию его семейства тело бибикова отвезено было в его деревню,казань желать погрести он в свой собор и сооружить памятник свой избавитель но по требование он семейство тело бибиков отвезти быть в его деревня,NOUN VERB VERB PRON ADP DET NOUN CCONJ VERB NOUN DET NOUN CCONJ ADP NOUN PRON NOUN NOUN NOUN NOUN AUX ADP DET NOUN,S S S S S S S S S S S C C S S S C S S S S S S P
2428,андреевская лента звание сенатора и чин полковника гвардии не застали его в живых,андреевский лента звание сенатор и чин полковник гвардия не застать он в живой,ADJ NOUN NOUN NOUN CCONJ NOUN NOUN NOUN PART VERB PRON ADP ADJ,S C S S S S S S S S S S P
2429,умирая говорил он не жалею о детях н жене государыня призрит их жалею об отечестве 19,умирая говорить он не жалеть о ребенок н жена государыня призреть они жалеть о отечество 19,ADV VERB PRON PART VERB ADP NOUN ADP NOUN NOUN VERB PRON VERB ADP NOUN ADJ,C S C S S S S S C S S C S S S P
2430,молва приписала смерть его действию яда будто бы данного ему одним из конфедератов,молва приписать смерть его действие яд будто бы данный он один из конфедерат,NOUN VERB NOUN DET NOUN NOUN PART PART ADJ PRON NUM ADP NOUN,S S S S S C S S S S S S P
2431,илецкая защита находится от оренбурга в 62 верстах в степи за рекою уралом на самом том месте где добывается славная илецкая соль,илецкий защита находиться от оренбург в 62 верста в степь за река урал на сам тот место где добываться славный илецкий соль,ADJ NOUN VERB ADP NOUN ADP NUM NOUN ADP NOUN ADP NOUN NOUN ADP ADJ DET NOUN ADV VERB ADJ ADJ NOUN,S S S S S S S C S C S S C S S S C S S S S P
2432,он был хороший генерал муж в гражданских делах проницательный справедливый и честный тонкий политик одаренный умом просвещенным всеобщим гибким но всегда благородным,он быть хороший генерал муж в гражданский дело проницательный справедливый и честный тонкий политик одаренный ум просвещенный всеобщий гибкий но всегда благородный,PRON AUX ADJ NOUN NOUN ADP ADJ NOUN ADJ ADJ CCONJ ADJ ADJ NOUN NOUN NOUN ADJ ADJ ADJ CCONJ ADV ADJ,S S S C S S S S C S S C S C S S C C C S S P
2433,важность не умаляла в нем веселия а простота не унижала важности,важность не умалять в он веселие а простота не унижать важность,NOUN PART VERB ADP PRON NOUN CCONJ NOUN PART VERB NOUN,S S S S S C S S S S P
2434,последний подвиг к защите престола и к спасению отечества соверша кончиною своею увенчал добродетельную жизнь к сожалению всей империи тогда пресекшуюся,последний подвиг к защита престол и к спасение отечество соверш кончина свой увенчать добродетельный жизнь к сожаление весь империя тогда пресекшуюся,ADJ NOUN ADP NOUN NOUN CCONJ ADP NOUN NOUN ADJ ADJ NOUN VERB ADJ NOUN ADP NOUN DET NOUN ADV ADJ,S S S S S S S S S C S S S S C S S S S S P
2435,пугачев под казаньюпугачев коего положение казалось отчаянным явился на авзяно-петровских заводах,пугачев под казаньюпугачев кой положение казалось отчаянный явиться на авзяно-петровский завод,NOUN ADP NOUN NOUN NOUN ADV ADJ VERB ADP ADJ NOUN,S S C S S S C S S S P
2436,овчинников и перфильев преследуемые майором шевичем проскакали через сакмарскую линию с тремястами яицких казаков и успели с ним соединиться,овчинников и перфильев преследовать майор шевич проскакали через сакмарский линия с триста яицкий казак и успеть с он соединиться,NOUN CCONJ VERB VERB NOUN ADJ NOUN ADP ADJ NOUN ADP ADJ ADJ NOUN CCONJ VERB ADP PRON VERB,S S C S S C S S S S S S S S S S S S P
2437,в ней находился при провианте и фураже отставной подполковник мелькович человек умный и решительный,в она находиться при провиант и фураж отставной подполковник мелькович человек умный и решительный,ADP PRON VERB ADP NOUN CCONJ VERB ADJ NOUN ADJ NOUN ADJ CCONJ ADJ,S S S S S S S S S C S S S P
2438,он принял начальство над гарнизоном и на них напав принудил их возвратиться на прежние жилища,он принять начальство над гарнизон и на они напасть принудить они возвратиться на прежний жилище,PRON VERB NOUN ADP NOUN CCONJ ADP PRON VERB VERB PRON VERB ADP ADJ NOUN,S S S S S C S S C S S S S S P
2439,чернь по-прежнему стала стекаться около него башкирцы уже почти усмиренные снова взволновались,чернь по-прежнему стать стекаться около он башкирцы уже почти усмирить снова взволноваться,NOUN ADV VERB VERB ADP PRON VERB ADV ADV VERB ADV VERB,S S S S S C C S S C S P
2440,старый их мятежник юлай скрывшийся во время казней 1741 года явился между ими с сыном своим салаватом,старый их мятежник юлай скрыться в время казнь 1741 год явиться между они с сын свой салават,ADJ DET ADJ ADJ VERB ADP NOUN NOUN ADJ NOUN VERB ADP PRON ADP NOUN DET NOUN,S S S C S S S S S C S S S S S S P
2441,вся башкирия восстала и бедствие разгорелось с вящей силою,весь башкирия восстать и бедствие разгореться с вящий сила,DET ADJ VERB CCONJ NOUN VERB ADP ADJ NOUN,S S C S S S S S P
2442,михельсон силился пресечь ему дорогу но распутица его спасала,михельсон силиться пресечь он дорога но распутица он спасать,NOUN VERB VERB PRON NOUN CCONJ VERB PRON VERB,S S S S C S S S P
2443,дороги были непроходимы люди вязли в бездонной грязи реки разливались на несколько верст ручьи становились реками,дорога быть непроходимый человек вязнуть в бездонный грязь река разливаться на несколько верста ручей становиться река,NOUN AUX VERB NOUN VERB ADP ADJ NOUN NOUN VERB ADP NUM NOUN NOUN VERB NOUN,S S C S S S S C S S S S C S S P
2444,михельсон прогнал их завод освободил и через день пошел далее,михельсон прогнать они завод освободить и через день пойти далее,NOUN VERB PRON NOUN VERB PART ADP NOUN VERB ADV,S S C S S S S S S P
2445,салават остановился в осьмнадцати верстах от завода ожидая белобородова,салават остановиться в осьмнадцать верста от завод ожидая белобородов,NOUN VERB ADP NOUN NOUN ADP NOUN ADV ADJ,S S S S S S C S P
2446,тут узнал он что пугачев набрав до шести тысяч башкирцев и крестьян пошел на крепость магнитную,тут узнать он что пугачев набрать до шесть тысяча башкирцев и крестьянин пойти на крепость магнитный,ADV VERB PRON SCONJ NOUN VERB ADP NUM NOUN NOUN CCONJ NOUN VERB ADP NOUN ADJ,S S C S C S S S S S S C S S S P
2447,михельсон решился углубиться в уральские горы надеясь соединиться с фрейманом около вершины яика,михельсон решиться углубиться в уральский гора надеяться соединиться с фрейман около вершина яик,NOUN VERB VERB ADP NOUN NOUN VERB VERB ADP NOUN ADP NOUN NOUN,S S S S S C S S S S S S P
2448,пугачев зажегши ограбленные им белорецкие заводы быстро перешел через уральские горы и 5 мая приступил к магнитной не имея при себе ни одной пушки,пугачев зажегши ограбить они белорецкий завод быстро перейти через уральский гора и 5 май приступить к магнитный не иметь при себя ни один пушка,NOUN ADJ VERB PRON ADJ NOUN ADV VERB ADP ADJ NOUN CCONJ NUM NOUN VERB ADP ADJ PART VERB ADP PRON PART NUM NOUN,C S S S S C S S S S S S S S S S C S S S S S S P
2449,пугачев сам был ранен картечью в руку и отступил претерпев значительный урон,пугачев сам быть ранить картечь в рука и отступить претерпев значительный урон,NOUN ADJ AUX VERB NOUN ADP NOUN CCONJ VERB ADJ ADJ NOUN,S S S S S S S S C S S P
2450,крепость казалась спасена но в ней открылась измена пороховые ящики ночью были взорваны,крепость казаться спасти но в она открыться измена пороховой ящик ночь быть взорвать,NOUN VERB VERB CCONJ ADP PRON VERB NOUN ADJ NOUN NOUN AUX VERB,S S C S S S S C S S S S P
2451,мятежники бросились разобрали заплоты и ворвались,мятежник броситься разобрать заплот и ворваться,NOUN VERB VERB NOUN CCONJ VERB,S C S S S P
2452,тихановский с женою были повешены крепость разграблена и выжжена,тихановский с жена быть повесить крепость разграбить и выжечь,NOUN ADP NOUN AUX VERB NOUN VERB CCONJ ADJ,S S S S C S S S P
2453,приближаясь к карагайской он увидел одни дымящиеся развалины пугачев покинул ее накануне,приближаться к карагайский он увидеть один дымиться развалина пугачев покинуть она накануне,VERB ADP NOUN PRON VERB DET VERB NOUN NOUN VERB PRON ADP,S S C S S S S C S S S P
2454,декалонг надеялся догнать его в петрозаводской но и тут уже его не застал,декалонг надеяться догнать он в петрозаводский но и тут уже он не застать,NOUN VERB VERB PRON ADP NOUN CCONJ CCONJ ADV ADV PRON PART VERB,S S S S S C S S S S S S P
2455,крепость была разорена и выжжена церковь разграблена иконы ободраны и разломаны в щепы,крепость быть разорить и выжечь церковь разграбить икона ободраны и разломаны в щепа,NOUN AUX VERB CCONJ ADJ NOUN VERB NOUN NOUN CCONJ NOUN ADP NOUN,S S S S C S C S S S S S P
2456,декалонг оставя линию пошел внутреннею дорогою прямо на уйскую крепость,декалонг оставя линия пойти внутренний дорога прямо на уйский крепость,NOUN ADJ NOUN VERB ADJ NOUN ADV ADP ADJ NOUN,C S C S S S S S S P
2457,он думал настигнуть пугачева хотя в степной крепости но узнав что и степная уже взята пустился к троицкой,он думать настигнуть пугачев хотя в степной крепость но узнать что и степной уже взять пуститься к троицкий,PRON VERB VERB NOUN SCONJ ADP ADJ NOUN CCONJ VERB SCONJ PART NOUN ADV VERB VERB ADP ADJ,S S S S S S S C C C S S S S C S S P
2458,на дороге в сенарской нашел он множество народа из окрестных разоренных крепостей,на дорога в сенарский найти он множество народ из окрестный разорить крепость,ADP NOUN ADP NOUN VERB PRON NOUN NOUN ADP ADJ ADJ NOUN,S C S C S S S S S S S P
2459,офицерские жены и дети босые оборванные рыдали не зная где искать убежища,офицерский жена и ребенок босой оборванный рыдать не знать где искать убежище,ADJ NOUN CCONJ NOUN ADJ NOUN VERB PART VERB ADV VERB NOUN,S S S C C C C S C S S P
2460,21 мая утром приближился он к троицкой прошед шестьдесят верст усиленным переходом и наконец увидел пугачева расположившегося лагерем под крепостию взятой им накануне,21 май утро приближиться он к троицкий прошед шестьдесят верста усилить переход и наконец увидеть пугачев расположиться лагерь под крепость взять он накануне,ADJ NOUN NOUN VERB PRON ADP ADJ NOUN NUM NOUN VERB NOUN CCONJ ADV VERB ADJ VERB NOUN ADP VERB VERB PRON ADV,S S S S S S C S S S S C S S S C S S S C S S P
2461,во все время пугачев лежал в своей палатке жестоко страдая от раны полученной им под магнитною,в весь время пугачев лежать в свой палатка жестоко страдать от рана получить он под магнитный,ADP DET NOUN NOUN VERB ADP DET NOUN ADV VERB ADP NOUN VERB PRON ADP NOUN,S S S S S S S C S S S C S S S P
2462,пугачев сел на лошадь и с подвязанною рукою бросался всюду стараясь восстановить порядок но все рассеялось и бежало,пугачев сесть на лошадь и с подвязать рука бросаться всюду стараться восстановить порядок но весь рассеялось и бежать,NOUN VERB ADP NOUN CCONJ ADP ADJ NOUN VERB ADV VERB VERB NOUN CCONJ DET NOUN CCONJ VERB,S S S S S S S S S C S S C S S S S P
2463,в лагере найдено до трех тысяч людей всякого звания пола и возраста захваченных самозванцем и обреченных погибели,в лагер найти до три тысяча человек всякий звание пол и возраст захватить самозванец и обречь погибель,ADP NOUN VERB ADP NUM NOUN NOUN DET NOUN NOUN CCONJ NOUN VERB NOUN CCONJ NOUN NOUN,S S S S S S S S C S S C S S S S P
2464,но комендант бригадир фейервар был убит накануне во время приступа а офицеры его повешены,но комендант бригадир фейервар быть убить накануне в время приступ а офицер он повесить,CCONJ NOUN NOUN NOUN AUX VERB ADV ADP NOUN NOUN CCONJ NOUN PRON VERB,S C S C S S C S S C S S S P
2465,майоры гагрин и жолобов отряженные декалонгом на другой день после сражения преследовали их но не могли достигнуть,майор гагрин и жолобов отряженные декалонг на другой день после сражение преследовать они но не мочь достигнуть,NOUN NOUN CCONJ ADJ ADJ NOUN ADP ADJ NOUN ADP NOUN VERB PRON CCONJ PART VERB VERB,S S S C S S S S S S C S C S S S P
2466,михельсон между тем шел уральскими горами по дорогам малоизвестным,михельсон между тот идти уральский гора по дорога малоизвестный,NOUN ADP PRON VERB ADJ NOUN ADP NOUN ADJ,S S S S S C S S P
2467,13 мая башкирцы под предводительством мятежного старшины на него напали и сразились отчаянно загнанные в болото они не сдавались,13 май башкирцы под предводительство мятежный старшина на он напасть и сразиться отчаянно загнать в болото они не сдаваться,ADJ NOUN NOUN ADP NOUN ADJ NOUN ADP PRON VERB CCONJ VERB ADV VERB ADP NOUN PRON PART VERB,S S C S S S C S S S S S C S S C S S P
2468,все кроме одного насильно пощаженного были изрублены вместе с своим начальником,весь кроме один насильно пощадить быть изрубить вместе с свой начальник,DET ADP NUM ADV NOUN AUX VERB ADV ADP DET NOUN,C S C S C S S S S S P
2469,пленный башкирец обласканный михельсоном объявил ему о взятии магнитной и о движении декалонга,пленный башкирец обласкать михельсон объявить он о взятие магнитный и о движение декалонг,NOUN NOUN NOUN NOUN VERB PRON ADP NOUN ADJ CCONJ ADP NOUN ADJ,S C S C S S S S S S S S P
2470,в самом деле 22 мая утром приближаясь к варламову он встретил передовые отряды пугачева,в сам дело 22 май утро приближаясь к варламов он встретить передовой отряд пугачев,ADP ADJ NOUN ADJ NOUN NOUN ADV ADP NOUN PRON VERB ADJ NOUN NOUN,S S C S S C S S C S S S S P
2471,он остановился удерживая выгодное свое положение у леса прикрывавшего его тыл,он остановиться удерживая выгодный свой положение у лес прикрывать его тыл,PRON VERB ADV ADJ DET NOUN ADP NOUN VERB DET NOUN,S C S S S S S C S S P
2472,пугачев в первый раз увидел перед собою того кто должен был нанести ему столько ударов и положить предел кровавому его поприщу,пугачев в первый раз увидеть перед себя тот кто должный быть нанести он столько удар и положить предел кровавый он поприще,NOUN ADP ADJ NOUN VERB ADP NOUN PRON PRON ADJ AUX VERB PRON NUM NOUN CCONJ VERB NOUN ADJ PRON NOUN,S S S S S S S C S S S S S S S S S S S S P
2473,пугачев тотчас напал на его левое крыло привел оное в расстройство и отнял две пушки,пугачев тотчас напасть на его левый крыло привести оный в расстройство и отнять два пушка,NOUN ADV VERB ADP DET ADJ NOUN VERB NOUN ADP NOUN CCONJ VERB NUM NOUN,S S S S S S C S S S S S S S P
2474,на другой день отдал он в приказе строгий выговор роте потерявшей свои пушки и отнял у ней пуговицы и обшлага до выслуги,на другой день отдать он в приказ строгий выговор рота потерять свой пушка и отнять у она пуговица и обшлаг до выслуга,ADP ADJ NOUN VERB PRON ADP NOUN ADJ NOUN NOUN VERB DET NOUN CCONJ VERB ADP PRON NOUN CCONJ NOUN ADP NOUN,S S S S S S S S S C S S C S S S S S S C S P
2475,казаки в ней находившиеся бунтовали,казак в она находиться бунтовать,NOUN ADP PRON VERB NOUN,C S S C P
2476,михельсон привел их к присяге присоединив к своему отряду и впоследствии был всегда ими доволен,михельсон привести они к присяга присоединить к свой отряд и впоследствии быть всегда они довольный,NOUN VERB PRON ADP NOUN VERB ADP DET NOUN CCONJ ADV AUX ADV PRON ADJ,S S S S C S S S C S S S S S P
